iter	Passed	Remaining
1175	31972	49589
1176	31998	49560
1177	32024	49531
1178	32049	49501
1179	32074	49471
1180	32101	49443
1181	32127	49414
1182	32154	49386
1183	32180	49358
1184	32205	49326
1185	32231	49298
1186	32256	49267
1187	32281	49237
1188	32307	49208
1189	32332	49178
1190	32358	49149
1191	32385	49121
1192	32410	49090
1193	32439	49067
1194	32466	49039
1195	32492	49009
1196	32519	48982
1197	32545	48953
1198	32572	48926
1199	32597	48896
1200	32624	48869
1201	32650	48839
1202	32675	48809
1203	32700	48778
1204	32726	48749
1205	32754	48724
1206	32786	48703
1207	32812	48676
1208	32840	48648
1209	32866	48620
1210	32890	48589
1211	32917	48561
1212	32942	48531
1213	32968	48501
1214	32993	48472
1215	33020	48444
1216	33045	48414
1217	33072	48387
1218	33098	48357
1219	33124	48328
1220	33150	48300
1221	33176	48271
1222	33200	48240
1223	33226	48210
1224	33252	48181
1225	33278	48152
1226	33304	48124
1227	33330	48095
1228	33355	48065
1229	33382	48037
1230	33408	48009
1231	33434	47980
1232	33459	47951
1233	33486	47922
1234	33513	47895
1235	33537	47864
1236	33564	47837
1237	33589	47806
1238	33615	47778
1239	33641	47748
1240	33668	47722
1241	33694	47693
1242	33721	47666
1243	33750	47641
1244	33796	47640
1245	33832	47626
1246	33870	47613
1247	33908	47601
1248	33944	47587
1249	33979	47571
1250	34015	47556
1251	34045	47532
1252	34072	47505
1253	34099	47477
1254	34125	47449
1255	34151	47420
1256	34177	47392
1257	34204	47364
1258	34229	47334
1259	34255	47304
1260	34282	47278
1261	34308	47249
1262	34334	47220
1263	34361	47192
1264	34386	47162
1265	34412	47133
1266	34439	47106
1267	34466	47078
1268	34492	47050
1269	34519	47022
1270	34545	46994
1271	34570	46963
1272	34595	46933
1273	34621	46904
1274	34646	46874
1275	34671	46845
1276	34697	46816
1277	34724	46788
1278	34748	46756
1279	34775	46729
1280	34802	46702
1281	34829	46674
1282	34855	46645
1283	34882	46619
1284	34910	46592
1285	34939	46567
1286	34968	46543
1287	34998	46519
1288	35025	46492
1289	35051	46463
1290	35079	46438
1291	35106	46409
1292	35132	46381
1293	35158	46352
1294	35185	46325
1295	35212	46298
1296	35241	46273
1297	35266	46243
1298	35292	46215
1299	35318	46186
1300	35349	46163
1301	35379	46140
1302	35414	46122
1303	35445	46101
1304	35480	46083
1305	35516	46067
1306	35551	46051
1307	35582	46029
1308	35611	46003
1309	35637	45975
1310	35663	45946
1311	35689	45917
1312	35714	45888
1313	35741	45860
1314	35766	45830
1315	35792	45801
1316	35819	45774
1317	35845	45744
1318	35873	45718
1319	35898	45689
1320	35925	45661
1321	35951	45633
1322	35977	45603
1323	36003	45575
1324	36030	45548
1325	36055	45517
1326	36081	45488
1327	36105	45458
1328	36132	45430
1329	36158	45401
1330	36184	45373
1331	36211	45345
1332	36238	45318
1333	36265	45290
1334	36290	45261
1335	36316	45232
1336	36342	45203
1337	36368	45174
1338	36395	45147
1339	36421	45119
1340	36449	45092
1341	36476	45065
1342	36502	45037
1343	36527	45007
1344	36553	44978
1345	36581	44952
1346	36607	44923
